name,team,position,season,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface,fantasy_points_ppr
A.J. Brown,PHI,WR,2023,17,106,158,1456.0,85.65,7,13.74,2.0,0,0.3,0.42,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.07,0.0,0.0,0,1019.0,1154.0,2.0,51.0,Lincoln Financial Field,cold,Grass,289.6
A.T. Perry,NO,WR,2023,8,12,18,246.0,30.75,4,20.5,0.0,0,0.07,0.16,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.33,0.0,0.0,0,319.0,519.0,6.0,195.0,Mercedes-Benz Superdome,indoor,FieldTurf,60.6
AJ McCarron,CIN,QB,2023,2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4,5,0.8,19.0,9.5,0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,Paul Brown Stadium,cold,FieldTurf,0.76
Aaron Jones,GB,RB,2023,11,30,43,233.0,21.18,1,7.77,1.0,0,0.12,-0.02,142,656.0,59.64,2,0.01,1.0,0,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.0,0,354.0,724.0,5.0,182.0,Lambeau Field,cold,Grass,134.9
Aaron Rodgers,NYJ,QB,2023,1,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0,4.0,58.0,1.0,24.0,MetLife Stadium,cold,FieldTurf,0.0
Adam Thielen,CAR,WR,2023,17,103,137,1014.0,59.65,4,9.84,2.0,1,0.25,0.26,1,6.0,0.35,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,1045.0,1160.0,0.0,0.0,Bank of America Stadium,moderate,Grass,231.0
Adam Trautman,DEN,TE,2023,16,22,35,204.0,12.75,3,9.27,0.0,0,0.08,0.09,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.14,0.0,0.0,0,697.0,1009.0,3.0,105.0,Empower Field at Mile High,cold,Grass,60.4
Aidan O'Connell,LV,QB,2023,11,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,17,11.0,1.0,1,0.06,1.0,0,213,343,0.62,2218.0,201.64,12,0,0.04,7.0,24.0,3,641.0,695.0,4.0,135.0,Allegiant Stadium,indoor,Grass,125.82
Albert Okwuegbunam,PHI,TE,2023,1,0,1,0.0,0.0,0,0.0,0.0,0,0.02,0.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,32.0,73.0,4.0,118.0,Lincoln Financial Field,cold,Grass,0.0
Alec Pierce,IND,WR,2023,17,32,65,514.0,30.24,2,16.06,0.0,0,0.12,0.23,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,1090.0,1155.0,2.0,53.0,Lucas Oil Stadium,indoor,FieldTurf,95.4
Alex Armah,WAS,RB,2023,3,3,3,13.0,4.33,0,4.33,0.0,0,0.03,-0.02,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,20.0,185.0,0.0,0.0,FedEx Field,moderate,Grass,4.3
Alex Erickson,LAC,WR,2023,8,16,29,232.0,29.0,1,14.5,0.0,0,0.09,0.14,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.06,0.0,0.0,0,329.0,547.0,0.0,0.0,Dignity Health Sports Park,warm,Grass,45.2
