name,team,position,season,fantasy_points_ppr
A.J. Brown,TEN,WR,2019,217.1
A.J. Brown,TEN,WR,2020,247.5
A.J. Brown,TEN,WR,2021,180.9
A.J. Brown,PHI,WR,2022,299.6
A.J. Brown,PHI,WR,2023,289.6
A.J. Brown,PHI,WR,2024,241.0
A.T. Perry,NO,WR,2023,60.6
A.T. Perry,NO,WR,2024,62.04
AJ McCarron,CIN,QB,2017,2.64
AJ McCarron,HOU,QB,2019,16.9
AJ McCarron,HOU,QB,2020,0.8
AJ McCarron,CIN,QB,2023,0.76
AJ McCarron,CIN,QB,2024,12.16
Aaron Jones,GB,RB,2017,80.0
Aaron Jones,GB,RB,2018,171.4
Aaron Jones,GB,RB,2019,314.8
Aaron Jones,GB,RB,2020,258.9
Aaron Jones,GB,RB,2021,229.0
Aaron Jones,GB,RB,2022,248.6
Aaron Jones,GB,RB,2023,134.9
Aaron Jones,GB,RB,2024,202.4
Aaron Rodgers,GB,QB,2013,169.44
Aaron Rodgers,GB,QB,2014,354.14
Aaron Rodgers,GB,QB,2015,301.24
Aaron Rodgers,GB,QB,2016,380.02
Aaron Rodgers,GB,QB,2017,129.6
Aaron Rodgers,GB,QB,2018,312.58
Aaron Rodgers,GB,QB,2019,278.38
Aaron Rodgers,GB,QB,2020,383.26
Aaron Rodgers,GB,QB,2021,333.3
Aaron Rodgers,GB,QB,2022,239.2
Aaron Rodgers,NYJ,QB,2023,0.0
Aaron Rodgers,NYJ,QB,2024,213.59
Adam Thielen,MIN,WR,2014,33.7
Adam Thielen,MIN,WR,2015,35.3
Adam Thielen,MIN,WR,2016,197.2
Adam Thielen,MIN,WR,2017,239.7
Adam Thielen,MIN,WR,2018,307.3
Adam Thielen,MIN,WR,2019,114.4
Adam Thielen,MIN,WR,2020,254.0
Adam Thielen,MIN,WR,2021,199.8
Adam Thielen,MIN,WR,2022,180.0
Adam Thielen,CAR,WR,2023,231.0
Adam Thielen,CAR,WR,2024,155.53
Adam Trautman,NO,TE,2020,38.1
Adam Trautman,NO,TE,2021,63.3
Adam Trautman,NO,TE,2022,44.7
Adam Trautman,DEN,TE,2023,60.4
Adam Trautman,DEN,TE,2024,47.76
Aidan O'Connell,LV,QB,2023,125.82
Aidan O'Connell,LV,QB,2024,123.21
Albert Okwuegbunam,DEN,TE,2020,29.1
Albert Okwuegbunam,DEN,TE,2021,76.0
Albert Okwuegbunam,DEN,TE,2022,25.5
Albert Okwuegbunam,PHI,TE,2023,0.0
Albert Okwuegbunam,PHI,TE,2024,25.96
Alec Pierce,IND,WR,2022,112.3
Alec Pierce,IND,WR,2023,95.4
Alec Pierce,IND,WR,2024,111.24
Alex Armah,CAR,RB,2018,15.0
Alex Armah,CAR,RB,2019,9.7
Alex Armah,CAR,RB,2020,7.7
Alex Armah,WAS,RB,2023,4.3
Alex Armah,WAS,RB,2024,6.11
Alex Erickson,CIN,WR,2016,13.1
Alex Erickson,CIN,WR,2017,37.6
Alex Erickson,CIN,WR,2018,38.9
Alex Erickson,CIN,WR,2019,100.24
Alex Erickson,CIN,WR,2020,24.6
Alex Erickson,CAR,WR,2021,8.5
Alex Erickson,LAC,WR,2023,45.2
Alex Erickson,LAC,WR,2024,39.92
Alexander Mattison,MIN,RB,2019,68.4
Alexander Mattison,MIN,RB,2020,86.9
Alexander Mattison,MIN,RB,2021,125.9
Alexander Mattison,MIN,RB,2022,88.4
Alexander Mattison,MIN,RB,2023,133.2
Alexander Mattison,MIN,RB,2024,106.78
Allen Lazard,GB,WR,2018,1.7
Allen Lazard,GB,WR,2019,102.8
Allen Lazard,GB,WR,2020,97.8
Allen Lazard,GB,WR,2021,142.5
Allen Lazard,GB,WR,2022,174.8
Allen Lazard,NYJ,WR,2023,60.1
Allen Lazard,NYJ,WR,2024,80.92
Allen Robinson,JAX,WR,2014,116.8
