name,team,position,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface
A.J. Brown,PHI,WR,15.4,75.8,119.6,1189.4,76.596,8.4,16.02,1.4,0.0,0.268,0.384,1.0,14.0,0.9039999999999999,0.2,0.066,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.11600000000000002,0.0,0.0,0.0,813.0,1032.2,2.0,51.0,Lincoln Financial Field,cold,Grass
A.T. Perry,NO,WR,8.0,12.0,18.0,246.0,30.75,4.0,20.5,0.0,0.0,0.07,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,319.0,519.0,6.0,195.0,Mercedes-Benz Superdome,indoor,FieldTurf
AJ McCarron,CIN,QB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,9.75,4.875,0.25,0.05,0.0,0.0,8.25,14.25,0.7175,82.5,41.25,0.0,0.0,0.005,0.25,2.0,0.0,0.0,0.0,0.0,0.0,Paul Brown Stadium,cold,FieldTurf
Aaron Jones,GB,RB,13.571428571428571,38.857142857142854,52.0,296.57142857142856,20.69142857142857,2.5714285714285716,7.08,0.8571428571428571,0.14285714285714285,0.11571428571428573,0.0071428571428571435,168.14285714285714,848.5714285714286,61.56142857142857,6.428571428571429,0.037142857142857144,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,482.2857142857143,890.2857142857143,5.0,182.0,Lambeau Field,cold,Grass
Aaron Rodgers,NYJ,QB,13.272727272727273,0.18181818181818182,0.18181818181818182,-0.9090909090909091,-0.057272727272727274,0.0,-0.9090909090909091,0.0,0.0,0.0,0.0,37.81818181818182,184.0,12.918181818181818,1.5454545454545454,0.03636363636363637,1.5454545454545454,0.2727272727272727,295.3636363636364,454.1818181818182,0.5945454545454546,3399.4545454545455,234.67363636363635,27.636363636363637,1.0909090909090908,0.052727272727272734,5.363636363636363,29.09090909090909,3.3636363636363638,847.6363636363636,891.1818181818181,1.0,24.0,MetLife Stadium,cold,FieldTurf
Adam Thielen,CAR,WR,13.6,63.7,91.3,769.6,52.266,5.9,12.664,0.8,0.4,0.189,0.258,2.2,17.8,1.574,0.1,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0,730.6,917.8,0.0,0.0,Bank of America Stadium,moderate,Grass
Adam Trautman,DEN,TE,12.25,20.5,29.0,211.25,17.7525,1.75,10.4775,0.25,0.0,0.0825,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,498.5,794.0,3.0,105.0,Empower Field at Mile High,cold,Grass
Aidan O'Connell,LV,QB,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,1.0,1.0,0.06,1.0,0.0,213.0,343.0,0.62,2218.0,201.64,12.0,0.0,0.04,7.0,24.0,3.0,641.0,695.0,4.0,135.0,Allegiant Stadium,indoor,Grass
Albert Okwuegbunam,PHI,TE,6.0,13.5,18.5,136.5,17.865,1.0,7.625,0.25,0.0,0.08499999999999999,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,177.5,403.5,4.0,118.0,Lincoln Financial Field,cold,Grass
Alec Pierce,IND,WR,16.5,36.5,71.5,553.5,33.65,2.0,15.26,0.5,0.0,0.135,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,907.5,1132.0,2.0,53.0,Lucas Oil Stadium,indoor,FieldTurf
